Operator,COUNT(*)
31 OPERATING,1
4-H OPERATING CORPORATION,1
8 NORTH LLC,18
AKA ENERGY GROUP LLC,4
ALAMOSA DRILLING INC,1
ANADARKO DJ GAS PROCESSING LLC,2
ANADARKO WATTENBERG OIL COMPLEX LLC,8
ANDEAVOR FIELD SERVICES LLC,5
ARP PRODUCTION COMPANY LLC,17
AUGUSTUS ENERGY RESOURCES LLC,38
AXIS EXPLORATION LLC,6
BARGATH LLC,7
BAYSWATER EXPLORATION AND PRODUCTION LLC,41
BENCHMARK ENERGY LLC,7
BEREN CORPORATION,2
BERRY PETROLEUM COMPANY LLC,13
BISON EXPLORATION LLC,1
BISON OIL & GAS II LLC,6
BISON OIL & GAS LLC,1
BLACK DIAMOND MINERALS LLC,3
BLACK HILLS PLATEAU PRODUCTION LLC,4
BLUE CHIP OIL INC,6
BNN WESTERN LLC,10
BONANZA CREEK ENERGY OPERATING COMPANY LLC,188
BOPCO LP,1
BP AMERICA PRODUCTION COMPANY,73
BP ENERGY INC,1
BURLINGTON RESOURCES OIL & GAS LP,8
CAERUS PICEANCE LLC,144
CAERUS WASHCO LLC,9
CAPTIVA ENERGY PARTNERS LLC,1
CARRIZO NIOBRARA LLC,9
CATAMOUNT ENERGY PARTNERS LLC,3
CCRP OPERATING INC,1
CENTRAL OPERATING INC,1
CHEVRON MIDCONTINENT LP,1
CHEVRON PIPELINE COMPANY,1
CHEVRON PRODUCTION COMPANY,181
CITATION OIL & GAS CORP,8
CM PRODUCTION LLC,1
COACHMAN ENERGY OPERATING COMPANY LLC,2
COLORADO INTERSTATE GAS COMPANY LLC,6
COLORADO OIL & GAS CONSERVATION COMMISSION,19
COLTON LIMITED LIABILITY CO,2
COMPLETE ENERGY SERVICES INC,1
CONDOR ENERGY TECHNOLOGY LLC,1
CONFLUENCE DJ LLC,1
CONOCO PHILLIPS COMPANY,7
CORAL PRODUCTION CORP,6
CRESTONE PEAK RESOURCES OPERATING LLC,60
CRIMSON EXPLORATION OPERATING INC,3
CRUMLEY* JACK,1
CUB CREEK ENERGY,5
CWC OIL AND GAS LLC,1
D90 ENERGY LLC,4
DAN A HUGHES COMPANY LP,1
DCP OPERATING COMPANY LP,112
DIAMOND OPERATING INC.,7
DIVERSIFIED ENERGY LLC,1
DUGAN PRODUCTION CORP,2
EAST CHEYENNE GAS STORAGE LLC,1
EE3 LLC,3
ENCANA OIL & GAS (USA) INC,91
ENDEAVOUR OPERATING CORPORATION,1
ENDURING RESOURCES LLC,1
ENERGEN RESOURCES CORPORATION,1
ENERGY INVESTMENTS INC,1
ENERGY SEARCH COMPANY,6
ENERPLUS RESOURCES (USA) CORPORATION,5
ENTERPRISE PRODUCTS OPERATING LLC,1
EOG RESOURCES INC,18
EVERGREEN NATURAL RESOURCES LLC,39
EWS 4 DJ BASIN LLC,1
EXPEDITION WATER SOLUTIONS COLORADO LLC,1
EXTRACTION OIL & GAS INC,116
FAULCONER INC* VERNON E,1
