InitialReportDate,DateofDiscovery,Operator,TrackingNum,FacilityType,Latitude,Longitude,county,livestock,PublicByway,ResidenceOrOccupiedStructure,CurrentLandUse,OtherLandUse,SurfaceWaterSupplyArea,WatersoftheState,SpillDescription
04/14/2020,04/06/2020,31 OPERATING,402370256,WELL,40.093099,-108.247857,RIO BLANCO,0,0,0,NON-CROP LAND,,0,1,On 4/6/2020 approximately 4:21 I received a call from our corporate office that there was a condensate leak from the wellhead at the Parker 4-35 I returned the call to field inspector Rick Moran and confirmed that the leak was steady at about a 2-3 drops per min rate. After I talked with rick I traveled out to the location and proceeded to remove the bull plug from the wellhead at which the leak was coming from I cleaned the threads up and re thread taped and doped the plug and re installed the plug into the wellhead. The following morning we returned to location with a couple of bags of oil gator. We poured the oil gator onto the contaminated area around the wellhead and stirred it in to make sure of an even spread. We have since been back to stir and add more fresh oil gator around the wellhead and will continue to do so until the affected area appears remediated.
03/20/2018,03/14/2018,4-H OPERATING CORPORATION,401579802,TANK BATTERY,40.37628,-104.65649,WELD,0,0,0,CROP LAND,,0,1,"Well was plugged and abandon 10/4/2017.  Equipment was removed and reclamation began 3/14/2018, once the tank battery was removed we encountered oil under the tank.  We excavated close to 1,300 yard of highly impacted soil.  We will be adding ORC or other reagent to pit bottom to treat groundwater impacts directly in the pit and downgradient. We will be leaving the pit open and applying a second dose in a couple of weeks.  There is some additional soil impact to the north that will have to be excavated.  A water sample has been taken from a potentially downgradient, the Odenbaugh #159938 well which is in a pump house about 1,200' northeast of Mokray-Thorn well."
01/21/2016,01/19/2016,8 NORTH LLC,400976158,TANK BATTERY,39.990318,-105.057387,BOULDER,0,0,0,NON-CROP LAND,,0,0,"During annual flowline testing a leak was identified and upon investigation of the flowline contaminated soils were discovered.  Impacts are limited to soils, no groundwater has been encountered.  Samples will be taken of the excavated soils to determine the extent and all contaminated soils will be disposed of at a permitted facility."
02/25/2016,02/23/2016,8 NORTH LLC,400995581,TANK BATTERY,39.963148,-105.078318,BOULDER,0,0,0,NON-CROP LAND,,0,0,"During routine maintenance a flowline leak was identified and upon excavation and repair hydrocarbon impacted soils were discovered. Impacts are limited to soils. No groundwater was encountered in the excavation. Further investigation will be completed to delineate the extent of impacted material, including excavation and soil sampling."
07/25/2016,07/22/2016,8 NORTH LLC,401083847,TANK BATTERY,39.998412,-105.056779,BOULDER,0,0,0,NON-CROP LAND,,0,0,"During pressure testing a dump line leak was discovered at the FCR MD 61S69W1NENE location. Excavation and repair activities commenced and hydrocarbon impacted soil was encountered in the excavation. Groundwater was not encountered in the excavation. Soil samples were collected from the excavation area and test pits around the excavation and submitted for laboratory analysis of benzene, toluene, ethylbenzene and total xylenes (BTEX) by USEPA Method 8260 and total petroleum hydrocarbons (TPH) by USEPA Method 8015. Site assessment activities are ongoing at this location."
07/29/2016,07/29/2016,8 NORTH LLC,401086328,TANK BATTERY,40.0483,-105.10045,BOULDER,0,0,0,CROP LAND,,0,0,"During pressure testing a dump line leak was discovered at the Leyner 61N69W15NWSE location. Excavation and repair activities commenced and hydrocarbon impacted soil was encountered in the excavation. Groundwater was not encountered in the excavation. Soil samples were collected from the excavation area and submitted for laboratory analysis of benzene, toluene, ethylbenzene and total xylenes (BTEX) by USEPA Method 8260 and total petroleum hydrocarbons (TPH) by USEPA Method 8015. Site assessment activities are ongoing at this location."
09/01/2016,08/31/2016,8 NORTH LLC,401102670,TANK BATTERY,39.959898,-105.077273,BOULDER,0,0,0,NON-CROP LAND,,0,0,"During equipment replacement hydrocarbon impacted soil were encountered. No groundwater was encountered in the excavation. Further excavation will be completed to delineate the extent of impacted material, including confirmation soil sampling."
10/18/2016,10/17/2016,8 NORTH LLC,401132528,TANK BATTERY,40.090051,-105.066957,BOULDER,0,0,0,CROP LAND,,0,1,"During flowline pressure testing a leak was discovered. Excavation activities commenced and hydrocarbon impacted soil was encountered. Groundwater was encountered at approximately 5 feet below ground surface (bgs). A groundwater sample (GW01) was collected from the excavation and on October 17, 2016, and submitted to Summit Scientific Laboratory in Golden, Colorado for analysis of benzene, toluene, ethylbenzene, and total xylenes (BTEX) by USEPA Method 8260. Analytical results received on October 18, 2016, indicated that the benzene concentration in groundwater sample GW01 was above the applicable COGCC Table 910-1 standard. Groundwater analytical results are summarized in Table 1 and the laboratory analytical report is included as Attachment A. Site assessment activities are ongoing at this location."
12/02/2016,12/01/2016,8 NORTH LLC,401159492,FLOWLINE,40.08147,-105.124401,BOULDER,0,0,0,CROP LAND,,0,0,"During flowline pressure testing a leak was discovered. Excavation activities commenced and hydrocarbon impacted soil was encountered. Groundwater was not encountered in the excavation. A soil sample was collected from the base of the excavation and submitted to Summit Laboratories, in Golden, Colorado for analysis of for analysis of benzene, toluene, ethylbenzene, total xylenes (BTEX), total petroleum hydrocarbons (TPH) - gasoline range organics (GRO) by USEPA Method 8260, TPH – diesel range organics (DRO) by USEPA Method 8015. Laboratory results for the confirmation soil sample indicated that BTEX and TPH concentrations were below applicable COGCC standards in the base of the excavation. Excavation assessment activities are ongoing to establish the lateral extent of impacts. Soil analytical results are summarized in Table 1. Soil sample locations are illustrated on Figure 2 and laboratory analytical reports are included as Attachment A."
12/23/2016,12/22/2016,8 NORTH LLC,401173418,FLOWLINE,40.090054,-105.066973,BOULDER,0,0,0,CROP LAND,,0,1,A surface gas leak was identified by a FLIR camera during a Boulder CO inspection on the Becky 36-12 flow line. The well was immediately shut-in until a crew could expose the line. Once exposed the pin hole leak was located and some of the suspected soil impacts were excavated and placed on a liner. Groundwater was encountered. Additional excavations will be conducted and the line will be repaired on the week of 12/27/16. Groundwater impacts will be investigated via monitoring wells for COGCC remediation project # 9894 (Becky 36-11) that flows to the same battery.
