InitialReportDate,DateofDiscovery,Operator,OperatorNum,TrackingNum,FacilityType,SpillType,Latitude,Longitude,county,livestock,PublicByway,ResidenceOrOccupiedStructure,CurrentLandUse,SurfaceWaterSupplyArea,WatersoftheState
2020-04-14,2020-04-06,31 OPERATING,200502,402370256,WELL,Recent,40.093099,-108.247857,RIO BLANCO,0,0,0,NON-CROP LAND,0,1
2018-03-20,2018-03-14,4-H OPERATING CORPORATION,30675,401579802,TANK BATTERY,Historical,40.37628,-104.65649,WELD,0,0,0,CROP LAND,0,1
2016-01-21,2016-01-19,8 NORTH LLC,10575,400976158,TANK BATTERY,Historical,39.990318,-105.057387,BOULDER,0,0,0,NON-CROP LAND,0,0
2016-02-25,2016-02-23,8 NORTH LLC,10575,400995581,TANK BATTERY,Historical,39.963148,-105.078318,BOULDER,0,0,0,NON-CROP LAND,0,0
2016-07-25,2016-07-22,8 NORTH LLC,10575,401083847,TANK BATTERY,Historical,39.998412,-105.056779,BOULDER,0,0,0,NON-CROP LAND,0,0
2016-07-29,2016-07-29,8 NORTH LLC,10575,401086328,TANK BATTERY,Historical,40.0483,-105.10045,BOULDER,0,0,0,CROP LAND,0,0
2016-09-01,2016-08-31,8 NORTH LLC,10575,401102670,TANK BATTERY,Historical,39.959898,-105.077273,BOULDER,0,0,0,NON-CROP LAND,0,0
2016-10-18,2016-10-17,8 NORTH LLC,10575,401132528,TANK BATTERY,Recent,40.090051,-105.066957,BOULDER,0,0,0,CROP LAND,0,1
2016-12-02,2016-12-01,8 NORTH LLC,10575,401159492,FLOWLINE,Historical,40.08147,-105.124401,BOULDER,0,0,0,CROP LAND,0,0
2016-12-23,2016-12-22,8 NORTH LLC,10575,401173418,FLOWLINE,Recent,40.090054,-105.066973,BOULDER,0,0,0,CROP LAND,0,1
2017-01-14,2017-01-13,8 NORTH LLC,10575,401185064,PARTIALLY-BURIED VESSEL,Historical,39.936013,-105.109967,BOULDER,0,0,0,CROP LAND,0,0
2017-06-23,2017-06-23,8 NORTH LLC,10575,401318036,TANK BATTERY,Recent,40.950827,-104.180983,WELD,0,0,0,NON-CROP LAND,0,0
2017-07-19,2017-07-19,8 NORTH LLC,10575,401347902,FLOWLINE,Historical,40.003993,-105.060057,BOULDER,0,0,0,OTHER,0,1
2018-01-23,2018-01-23,8 NORTH LLC,10575,401523624,TANK BATTERY,Recent,39.99046,-105.057433,BOULDER,0,0,0,OTHER,0,0
2018-02-09,2018-02-08,8 NORTH LLC,10575,401541461,TANK BATTERY,Recent,40.951032,-104.201669,WELD,0,0,0,OTHER,0,0
2018-04-20,2018-04-20,8 NORTH LLC,10575,401615432,TANK BATTERY,Historical,40.060899,-105.096169,BOULDER,0,0,0,OTHER,0,0
2018-11-26,2018-11-26,8 NORTH LLC,10575,401850008,OTHER,Historical,39.959961,-105.09503,BOULDER,0,0,0,NON-CROP LAND,0,0
2019-03-29,2019-03-29,8 NORTH LLC,10575,401989377,TANK BATTERY,Historical,40.016428,-105.086433,BOULDER,0,0,0,NON-CROP LAND,0,0
2019-05-17,2019-05-17,8 NORTH LLC,10575,402048071,TANK BATTERY,Recent,39.995911,-105.064535,BOULDER,0,0,0,CROP LAND,0,0
2019-10-03,2019-10-03,8 NORTH LLC,10575,402197635,PARTIALLY-BURIED VESSEL,Historical,39.990454,-105.057413,BOULDER,0,0,0,NON-CROP LAND,0,0
2014-12-22,2014-12-19,AKA ENERGY GROUP LLC,100323,400757040,OTHER,Recent,40.283,-104.801,WELD,0,0,0,OTHER,0,0
2017-05-15,2017-05-14,AKA ENERGY GROUP LLC,100323,401282682,OTHER,Recent,40.28354,-104.80121,WELD,0,0,0,NON-CROP LAND,0,0
2018-03-09,2018-02-26,AKA ENERGY GROUP LLC,100323,401568968,GAS GATHERING SYSTEM,Recent,40.372365,-104.543723,WELD,0,0,0,NON-CROP LAND,0,0
2019-01-07,2019-01-07,AKA ENERGY GROUP LLC,100323,401896039,GAS COMPRESSOR STATION,Recent,40.283441,-104.801437,WELD,0,0,0,NON-CROP LAND,0,0
