InitialReportDate,DateofDiscovery,Operator,OperatorNum,TrackingNum,FacilityType,SpillType,Latitude,Longitude,county,livestock,PublicByway,ResidenceOrOccupiedStructure,CurrentLandUse,SurfaceWaterSupplyArea,WatersoftheState,DaysToReport
2020-03-23,1994-11-14,ANADARKO DJ GAS PROCESSING LLC,124,402349927,GAS PROCESSING PLANT,0,39.748143,-104.680174,ADAMS,0,0,0,CROP LAND,0,1,9261
2019-07-22,2004-01-01,NGL WATER SOLUTIONS DJ LLC,44,402116460,PRODUCED WATER TRANSFER SYSTEM,0,40.016567,-104.887064,WELD,0,0,0,CROP LAND,0,0,5681
2019-01-04,2009-01-24,BONANZA CREEK ENERGY OPERATING COMPANY LLC,8,401893556,TANK BATTERY,0,40.30657,-104.520309,WELD,0,0,0,NON-CROP LAND,0,0,3632
2019-10-30,2013-07-22,DCP OPERATING COMPANY LP,3,402226829,PIPELINE,0,40.13091,-104.806776,WELD,0,1,0,CROP LAND,0,0,2291
2019-06-20,2013-05-10,KERR MCGEE GATHERING LLC,162,402081663,PIPELINE,1,39.95913,-104.640812,ADAMS,0,0,0,NON-CROP LAND,0,0,2232
2015-01-15,2009-05-27,ENCANA OIL & GAS (USA) INC,210,400772820,PIT,0,39.44164,-107.9941,GARFIELD,0,0,0,NON-CROP LAND,0,0,2059
2019-06-20,2014-04-07,KERR MCGEE GATHERING LLC,162,402081722,PIPELINE,1,40.10293,-104.893234,WELD,0,0,0,CROP LAND,0,0,1900
2016-01-27,2011-01-31,LARAMIE ENERGY LLC,58,400978919,WELL,0,39.43559,-107.8291,GARFIELD,0,0,0,OTHER,0,0,1822
2019-01-31,2014-03-03,KERR MCGEE OIL & GAS ONSHORE LP,161,401924669,TANK BATTERY,1,40.212433,-104.736178,WELD,0,0,0,NON-CROP LAND,0,0,1795
2015-01-21,2010-06-08,ENCANA OIL & GAS (USA) INC,210,400777124,PIT,0,39.59086,-108.0538,GARFIELD,0,0,0,NON-CROP LAND,0,0,1688
2015-01-19,2010-06-07,ENCANA OIL & GAS (USA) INC,210,400774751,PIT,0,39.4184,-108.0136,GARFIELD,0,0,0,NON-CROP LAND,0,0,1687
2015-01-26,2010-06-28,ENCANA OIL & GAS (USA) INC,210,400780269,PIT,0,39.588864,-108.042517,GARFIELD,0,0,0,NON-CROP LAND,0,0,1673
2015-01-21,2010-07-28,ENCANA OIL & GAS (USA) INC,210,400776705,PIT,0,39.647936,-108.147815,GARFIELD,0,0,0,NON-CROP LAND,0,0,1638
2014-04-28,2010-01-29,XTO ENERGY INC,211,400597491,WELL PAD,0,39.905251,-108.261991,RIO BLANCO,0,0,0,NON-CROP LAND,0,0,1550
2014-04-30,2010-06-04,XTO ENERGY INC,211,400599061,WELL PAD,0,39.86638,-108.20904,RIO BLANCO,0,0,0,NON-CROP LAND,0,0,1426
2015-01-21,2011-08-29,ENCANA OIL & GAS (USA) INC,210,400777240,PIT,0,39.592511,-108.132419,GARFIELD,0,0,0,NON-CROP LAND,0,0,1241
2017-06-19,2014-04-25,GREAT WESTERN OPERATING COMPANY LLC,16,401312425,TANK BATTERY,0,40.141381,-104.96606,WELD,0,0,0,CROP LAND,0,1,1151
2015-06-16,2012-07-02,CHEVRON PRODUCTION COMPANY,131,400854146,WELL PAD,0,40.101366,-108.793873,RIO BLANCO,0,0,0,NON-CROP LAND,0,0,1079
2014-04-29,2011-06-07,XTO ENERGY INC,211,400598534,WELL PAD,0,39.880361,-108.228033,RIO BLANCO,0,0,0,NON-CROP LAND,0,0,1057
2016-04-06,2013-06-10,ENCANA OIL & GAS (USA) INC,210,401023443,PIT,0,39.583027,-108.088753,GARFIELD,0,0,0,NON-CROP LAND,0,0,1031
2015-10-26,2013-01-07,KERR MCGEE OIL & GAS ONSHORE LP,161,400924459,TANK BATTERY,1,40.069011,-104.845645,WELD,0,0,0,OTHER,0,1,1022
2015-03-19,2012-06-04,CHEVRON PRODUCTION COMPANY,131,400811665,FLOWLINE,0,40.132395,-108.882137,RIO BLANCO,0,0,0,NON-CROP LAND,0,0,1018
2015-03-19,2012-07-11,CHEVRON PRODUCTION COMPANY,131,400812102,OTHER,0,40.099592,-108.861426,RIO BLANCO,0,0,0,NON-CROP LAND,0,0,981
2014-04-28,2011-09-22,XTO ENERGY INC,211,400597206,WELL PAD,0,39.89114,-108.25096,RIO BLANCO,0,0,0,NON-CROP LAND,0,0,949
2014-04-30,2011-09-28,XTO ENERGY INC,211,400599458,WELL PAD,0,39.885222,-108.240029,RIO BLANCO,0,0,0,NON-CROP LAND,0,0,945
2015-03-20,2012-11-06,CHEVRON PRODUCTION COMPANY,131,400812655,FLOWLINE,0,40.12979,-108.916266,RIO BLANCO,0,0,0,NON-CROP LAND,0,0,864
2015-11-30,2013-08-28,OXY USA WTP LP,181,400944774,GAS GATHERING SYSTEM,1,39.482857,-108.249189,GARFIELD,0,0,0,NON-CROP LAND,0,0,824
2016-06-14,2014-03-19,KERR MCGEE OIL & GAS ONSHORE LP,161,401062763,TANK BATTERY,0,40.278012,-105.037135,WELD,0,0,0,OTHER,0,1,818
2015-12-15,2013-09-26,KERR MCGEE OIL & GAS ONSHORE LP,161,400954587,TANK BATTERY,1,40.064967,-104.837339,WELD,0,0,0,CROP LAND,0,1,810
2014-05-30,2012-04-02,ENCANA OIL & GAS (USA) INC,210,400617708,TANK BATTERY,0,40.026003,-104.852697,WELD,0,0,0,CROP LAND,0,1,788
2015-04-29,2013-04-07,PDC ENERGY INC,183,400832864,TANK BATTERY,0,40.490596,-104.67887,WELD,0,0,0,CROP LAND,0,0,752
2016-02-11,2014-02-11,KERR MCGEE OIL & GAS ONSHORE LP,161,400987481,TANK BATTERY,0,40.22408,-104.839368,WELD,0,0,0,CROP LAND,0,1,730
2014-12-23,2013-04-09,CAERUS PICEANCE LLC,64,400758846,PIT,0,39.610419,-108.14455,GARFIELD,0,0,0,NON-CROP LAND,0,0,623
2014-12-23,2013-04-09,ENCANA OIL & GAS (USA) INC,210,400758846,PIT,0,39.610419,-108.14455,GARFIELD,0,0,0,NON-CROP LAND,0,0,623
2015-12-11,2014-04-10,KERR MCGEE OIL & GAS ONSHORE LP,161,400952598,TANK BATTERY,0,40.235733,-104.854955,WELD,0,0,0,OTHER,0,1,610
2015-10-30,2014-03-06,SYNERGY RESOURCES CORPORATION,31,400928109,TANK BATTERY,1,40.3163,-104.9182,WELD,0,0,0,CROP LAND,0,0,603
2015-10-28,2014-03-04,KERR MCGEE OIL & GAS ONSHORE LP,161,400926194,TANK BATTERY,1,40.164501,-104.882715,WELD,0,0,0,OTHER,0,1,603
